Date;rr
12/07/2020;40.96011533
13/07/2020;54.4577425
14/07/2020;39.86082483
15/07/2020;6.8074
16/07/2020;12.1203
17/07/2020;0.0127
18/07/2020;1.1319
19/07/2020;0.4337
20/07/2020;6.1754
21/07/2020;0.0055
22/07/2020;0.0702
23/07/2020;0.033
24/07/2020;0
25/07/2020;1.681
26/07/2020;0.5845
27/07/2020;0
28/07/2020;0
29/07/2020;0
30/07/2020;0.0606
31/07/2020;0.0788
01/08/2020;0.6023
02/08/2020;0.2177
03/08/2020;1.5953
04/08/2020;10.4009
05/08/2020;0.2213
06/08/2020;0.0141
07/08/2020;0.3036
08/08/2020;1.5573
09/08/2020;0.7066
10/08/2020;0.0661
11/08/2020;1.3608
12/08/2020;0.3026
13/08/2020;0
14/08/2020;0
15/08/2020;0
16/08/2020;2.6183
17/08/2020;0.5578
18/08/2020;0
19/08/2020;0
20/08/2020;0.0159
21/08/2020;0.1317
22/08/2020;2.5303
23/08/2020;0
24/08/2020;0.0725
25/08/2020;0.0293
26/08/2020;0.1044
27/08/2020;0.0073
28/08/2020;1.4265
29/08/2020;0
30/08/2020;0
31/08/2020;17.941
01/09/2020;10.6437
02/09/2020;14.3186
03/09/2020;5.9155
04/09/2020;3.116
05/09/2020;0
06/09/2020;2.4176
07/09/2020;8.6202
08/09/2020;1.5634
09/09/2020;3.4652
10/09/2020;3.0041
11/09/2020;0.9876
12/09/2020;0
13/09/2020;1.1623
14/09/2020;4.00E-04
15/09/2020;0.0022
16/09/2020;0.0742
17/09/2020;0.9373
18/09/2020;0.7358
19/09/2020;0
20/09/2020;5.8919
21/09/2020;0.1308
22/09/2020;2.6483
23/09/2020;12.1879
24/09/2020;0.5733
25/09/2020;0.0429
26/09/2020;6.8556
27/09/2020;1.6119
28/09/2020;0.0012
29/09/2020;1.3161
30/09/2020;16.62455613
01/10/2020;0.415067433
02/10/2020;0
03/10/2020;8.41868255
04/10/2020;0.776424917
05/10/2020;19.08770832
06/10/2020;4.991378872
07/10/2020;21.43736713
08/10/2020;25.94939371
09/10/2020;18.48414286
10/10/2020;2.024567842
11/10/2020;0
12/10/2020;0
13/10/2020;0
14/10/2020;0
15/10/2020;7.17910809
16/10/2020;9.573589893
17/10/2020;1.883268587
18/10/2020;3.4235697
19/10/2020;1.060072725
20/10/2020;0.680240407
21/10/2020;0
22/10/2020;1.52343046
23/10/2020;0.097599107
24/10/2020;2.206538725
25/10/2020;0.592849217
26/10/2020;3.87505005
27/10/2020;4.1308131
28/10/2020;0.306710669
29/10/2020;7.2386349
30/10/2020;39.02985988
31/10/2020;10.34126233
01/11/2020;1.246406667
02/11/2020;0
03/11/2020;22.26568867
04/11/2020;0
05/11/2020;5.388631467
06/11/2020;9.6524894
07/11/2020;1.257750617
08/11/2020;0
09/11/2020;0
10/11/2020;0
11/11/2020;0
12/11/2020;0
13/11/2020;7.106195683
14/11/2020;11.62785907
15/11/2020;0.491075883
16/11/2020;0
17/11/2020;2.128348467
18/11/2020;4.344129667
19/11/2020;0.222510767
20/11/2020;1.299379283
21/11/2020;4.3661389
22/11/2020;9.094953583
23/11/2020;4.452561733
24/11/2020;18.92328183
25/11/2020;8.127435033
26/11/2020;21.37652235
27/11/2020;20.53032717
28/11/2020;4.868323017
29/11/2020;8.3430134
30/11/2020;15.09291653
